10	5	7.531658938527952E-6
15	5	4.890845622131754E-6
15	10	2.567443358363991E-10
20	5	3.037580725947359E-7
20	10	1.127175601876773E-10
20	15	2.5323209698307975E-14
25	5	7.61552837491874E-7
25	10	1.356989707219351E-10
25	15	1.7308712924379392E-13
25	20	2.737175757723488E-18
30	5	2.846307640480574E-7
30	10	4.768183315967659E-11
30	15	1.0988023833129997E-13
30	20	4.5226930744025535E-17
30	25	6.45304240337866E-23
35	5	1.0317885089731065E-8
35	10	1.1742576919470738E-12
35	15	6.142104084588282E-16
35	20	8.703054538976224E-18
35	25	4.268329480760287E-23
35	30	1.8953142963207825E-26
40	5	6.202082549612889E-7
40	10	1.4156826503077237E-10
40	15	3.891485089627348E-16
40	20	1.788077563947805E-18
40	25	1.9955916051947676E-22
40	30	1.2167027029175267E-26
40	35	1.074553227015404E-28
45	5	2.1271837922590674E-7
45	10	1.3379035391891244E-12
45	15	6.251103764103625E-16
45	20	4.039123006019086E-18
45	25	8.470453222382436E-21
45	30	5.241616839550378E-27
45	35	4.383813674887152E-31
45	40	1.0590984986601523E-34
50	5	2.912604410699466E-7
50	10	2.847275835699024E-12
50	15	2.900272614959493E-18
50	20	7.89835782843607E-20
50	25	1.2070017806449173E-22
50	30	1.6222626913438807E-26
55	5	4.40422194451174E-8
55	10	6.14614594825386E-13
55	15	1.4239438317123832E-16
55	20	4.808167726218249E-20
55	25	1.8589644144937354E-22
55	30	6.461777751022024E-25
55	35	4.9207104760809255E-31
55	40	2.5140401647462885E-33
55	45	1.2455239819065942E-35
60	5	3.8311130827526636E-7
60	10	4.0773023530921443E-13
60	15	6.2592929768254204E-18
60	20	3.8422966966273765E-22
60	25	4.447161433803542E-24
60	30	1.2431389488017205E-26
60	35	1.3705225044262902E-29
60	40	5.86244894588964E-34
60	45	2.1239803762460744E-37
60	50	1.7618086702494797E-40
65	5	1.344584661814328E-6
65	10	1.103554843400897E-12
65	15	1.1255157166974072E-16
65	20	1.7674386168249036E-21
65	25	1.9885831325073804E-24
65	30	2.164332773811112E-29
65	35	1.3612438373209726E-29
65	40	4.315307359977993E-33
65	45	6.261927009122286E-38
65	50	4.088191697005486E-42
70	5	1.5473417976947297E-6
70	10	8.332848012159446E-13
70	15	1.5128329625912564E-17
70	20	4.0487704165358876E-22
70	25	1.5365003611477736E-25
70	30	4.0208912070543725E-29
70	35	1.1442545530563145E-30
70	40	3.3219146093021836E-33
70	45	3.466649012610576E-38
70	50	3.1959650516046307E-43
70	55	5.235908218804983E-47
75	5	6.510106213474095E-7
75	10	5.874723082753837E-12
75	15	7.285998150584056E-18
75	20	5.380450640551264E-22
75	25	5.756941620064069E-26
75	30	5.807525888260664E-28
75	35	2.895785918934068E-30
75	40	3.541266512931853E-32
75	45	4.09746259549581E-37
75	50	3.603715332018677E-43
75	55	1.1656417962133583E-45
80	5	5.0287660358034274E-6
80	10	2.11160195662568E-12
80	15	1.2549030832410253E-18
80	20	1.2427893874935044E-21
80	25	5.578701819333274E-26
80	30	1.3465502545104105E-29
80	35	2.2204176651930812E-32
80	40	5.2580703365418095E-34
80	45	2.746296156746576E-37
80	50	1.841057042963739E-41
80	55	8.420260553679737E-43
80	60	3.1521825157971406E-49
85	5	2.289232784479527E-6
85	10	1.401829574697989E-11
85	15	2.5739271840105156E-17
85	20	2.112574680210477E-22
85	25	3.0326671464427183E-26
85	30	2.3731798499522847E-29
85	35	3.22443E-31
85	40	4.3810197960679854E-33
85	45	1.8864122483701791E-35
85	50	2.2244581991602245E-41
85	55	8.631418414362858E-44
85	60	5.0418065712802206E-48
90	5	7.718612035753546E-6
90	10	1.8832433710467564E-11
90	15	6.7174620669589296E-18
90	20	1.1481086010247033E-22
90	25	2.5874881080014646E-25
90	30	2.2007840542164592E-30
90	35	2.6502679064976865E-34
90	40	1.821649716537538E-36
90	45	1.6694533654578292E-38
90	50	8.036853753966047E-42
90	55	6.239657973730396E-44
90	60	1.2703597828741987E-48
90	65	2.1421407764091686E-52
95	5	1.956897809503903E-5
95	10	3.9537725004373154E-11
95	15	1.8518180026998326E-16
95	20	2.1550551603750203E-22
95	25	2.1419169231508157E-25
95	30	7.976773562336042E-32
95	35	2.8153057625768154E-33
95	40	7.329001381499453E-37
95	45	5.441742831851334E-39
95	50	1.158120142853728E-43
95	55	6.974043509259243E-45
95	60	1.277554428838217E-48
95	65	4.6531590912666285E-51
100	5	1.3436849124399239E-5
100	10	9.781146827911363E-11
100	15	1.3744791058647885E-15
100	20	6.900444619816724E-21
100	25	5.256852365744411E-26
100	30	3.095599737314615E-29
100	35	1.87814005852949E-33
100	40	6.269475050808943E-36
100	45	1.5494228679647227E-40
100	50	4.266396225319984E-42
100	55	4.0114719144355735E-44
100	60	3.1537610972595844E-50
100	65	7.121197423706022E-51
100	70	1.1646818405505933E-55
110	5	2.5154319446271363E-5
110	10	9.283356726222485E-7
110	15	5.918590652469109E-16
110	20	4.249121519936842E-21
110	25	1.0911939224187473E-26
110	30	2.079210046523517E-30
110	35	1.3441854698212323E-33
110	40	1.622060150887232E-37
110	45	5.1244709600539295E-40
110	50	7.894443E-43
110	55	1.216168959650606E-45
110	60	3.468575018607389E-49
110	65	2.4026415647911176E-52
110	70	4.5727413354387325E-54
110	75	8.817412082378727E-60
120	5	1.786450938268122E-4
120	10	1.028825071591668E-9
120	15	1.26931E-14
120	20	1.5660064745282044E-19
120	25	2.378057205522316E-24
120	30	3.946528038304554E-29
120	35	3.266185929506752E-33
120	40	2.75283792932067E-36
120	45	2.198042277504151E-40
