one two
2.02151e+95 2.07464e+95
1.1013e+60 1.76099e+60
1.53996e+59 1.88827e+59
7.2764e+58 8.20248e+58
7.27698e+58 7.93851e+58
7.27757e+58 7.40989e+58
2.9735e+59 2.43287e+59
2.9735e+59 2.43287e+59
7.935e+58 3.71821e+58
2.64248e+73 3.8974e+73
2.10226e+74 2.81026e+74
1.89911e+74 1.91629e+74
1.65038e+74 1.36022e+74
2.9502e+73 1.64164e+73
2.8284e+73 1.39278e+73
2.60343e+73 1.04123e+73
1.24405e+07 1.49061e+07
2.61553e+65 5.13673e+65
5.28701e+64 9.763e+64
8.42843e+65 1.58247e+66
4.63643e+63 7.82286e+63
1.55029e+66 2.27793e+66
2.05793e+66 2.85119e+66
1.58284e+66 2.31711e+66
1.05607e+65 1.01671e+65
1.05607e+65 1.01671e+65
1.05607e+65 1.01671e+65
6.07571e+65 5.05986e+65
6.08462e+64 3.90106e+64
2.03047e+63 9.23601e+62
3.86783e+64 1.8043e+64
1.85469e+63 8.49917e+62
4.69477e+63 1.50606e+63
4.013e+64 5.93904e+63
4.013e+64 5.93904e+63
4.013e+64 5.93904e+63
2.77591e+23 3.75116e+23
5.79758e+23 6.83163e+23
1.61441e+23 1.6678e+23
4.08226e+23 3.15305e+23
5.2248e+23 3.02371e+23
5.2248e+23 3.02371e+23
7.09654e+22 2.66681e+22
1.27902e+10 1.49867e+10
1.27902e+10 1.49867e+10
1.15893e+10 8.83232e+09
6.86063e+13 1.09518e+14
6.86063e+13 1.09518e+14
1.48015e+13 1.78585e+13
1.48015e+13 1.78585e+13
9.05996e+12 8.88838e+12
1.22599e+13 1.00138e+13
1.22599e+13 1.00138e+13
3.28907e+12 1.52391e+12
9.67626e+49 1.35991e+50
9.67626e+49 1.35991e+50
3.04328e+10 4.88061e+10
3.04328e+10 4.88061e+10
3.04328e+10 4.88061e+10
7.09197e+10 6.52389e+10
7.09197e+10 6.52389e+10
7.09197e+10 6.52389e+10
7.09197e+10 6.52389e+10
7.09197e+10 6.52389e+10
7.09197e+10 6.52389e+10
7.09197e+10 6.52389e+10
1.28804e+81 1.99407e+81
8.97292e+80 1.08207e+81
1.32488e+80 1.36216e+80
1.40839e+81 1.07592e+81
1.40839e+81 1.07592e+81
1.26994e+80 5.97619e+79
1.93782e+36 3.06405e+36
8.92147e+35 1.32278e+36
4.1947e+14 2.13974e+14
4.16488e+14 2.10268e+14
4.16488e+14 2.10268e+14
3.82114e+12 2.62046e+12
5.22895e+11 9.49958e+10
4.24943e+65 7.67766e+65
4.45886e+64 6.86823e+64
4.73884e+63 5.05784e+63
9.26929e+63 5.06158e+63
4.56325e+63 2.10525e+63
2.4607e+63 1.08492e+63
6.54222e+63 2.59689e+63
1.7282e+65 5.0671e+64
1.3796e+64 4.34643e+63
2.63662e+64 7.0759e+63
5.36106e+60 9.79979e+60
3.6551e+59 5.96113e+59
8.11116e+58 8.28409e+58
7.73138e+58 5.80786e+58
5.76864e+58 2.88465e+58
5.76864e+58 2.88465e+58
1.86807e+58 7.14261e+57
3.31403e+60 5.72931e+60
1.59057e+60 2.44574e+60
2.98276e+60 4.49338e+60
1.46666e+60 2.15798e+60
1.46383e+60 1.88447e+60
2.9427e+61 1.98017e+61
1.35599e+56 1.96571e+56
2.79062e+56 3.22334e+56
2.79062e+56 3.22334e+56
3.51024e+15 2.93682e+15
7.26326e+94 1.15319e+95
7.26326e+94 1.15319e+95
6.17498e+94 7.62797e+94
1.17631e+94 1.19606e+94
1.14281e+94 8.58323e+93
3.21469e+71 5.18067e+71
3.21469e+71 5.18067e+71
3.21469e+71 5.18067e+71
6.00499e+70 7.92149e+70
2.58984e+69 3.08567e+69
2.59004e+69 2.92058e+69
2.69969e+69 2.93134e+69
4.37856e+71 4.34839e+71
4.6388e+69 3.10593e+69
