one two
7.7019e+79 6.67161e+79
7.02477e+55 9.63073e+55
1.14438e+80 1.0238e+80
3.24273e+31 5.01417e+31
1.62101e+30 1.82721e+30
1.62101e+30 1.82721e+30
6.61818e+30 5.4156e+30
3.25e+31 5.14102e+31
3.25e+31 5.14102e+31
1.69092e+30 1.90369e+30
1.69092e+30 1.90369e+30
8.2301e+30 6.88322e+30
7.65666e+47 1.18393e+48
7.65666e+47 1.18393e+48
3.82036e+46 4.30661e+46
3.82036e+46 4.30661e+46
1.91502e+47 1.53124e+47
1.07788e+21 1.32426e+21
1.72281e+17 1.17182e+17
1.11067e+13 3.45031e+12
1.11067e+13 3.45031e+12
1.18354e+98 1.85984e+98
9.10692e+104 9.77233e+104
4.79245e+105 3.55034e+105
4.36165e+105 1.86717e+105
4.36165e+105 1.86717e+105
6.97597e+56 1.18884e+57
1.59897e+57 2.54695e+57
1.04681e+63 1.76875e+63
8.43468e+63 1.28703e+64
2.82097e+48 4.4578e+48
2.00308e+49 2.35332e+49
3.63203e+42 5.69935e+42
3.53794e+47 5.7805e+47
1.53807e+47 1.93241e+47
3.82754e+46 4.31494e+46
3.82754e+46 4.31494e+46
1.57829e+47 1.29354e+47
5.58391e+80 8.68968e+80
1.83926e+16 2.45232e+16
6.7082e+16 7.90058e+16
1.03159e+33 1.28537e+33
1.03159e+33 1.28537e+33
1.50221e+36 1.67338e+36
1.00322e+50 7.96922e+49
9.48437e+26 8.49992e+26
7.03103e+32 3.41634e+32
4.99399e+39 7.71821e+39
7.13012e+40 1.19897e+41
2.5982e+38 2.92469e+38
2.5982e+38 2.92469e+38
1.25567e+39 1.04865e+39
4.70565e+23 4.65306e+23
1.47184e+24 8.7907e+23
1.47184e+24 8.7907e+23
1.47184e+24 8.7907e+23
2.80038e+53 4.32168e+53
5.34291e+54 8.06804e+54
2.25896e+14 3.50495e+14
1.99613e+27 1.33737e+27
1.99613e+27 1.33737e+27
1.99613e+27 1.33737e+27
1.99613e+27 1.33737e+27
1.66238e+39 1.53894e+39
7.37829e+68 1.20979e+69
1.41416e+20 1.85985e+20
1.75945e+43 1.036e+43
2.88094e+54 4.50065e+54
2.88094e+54 4.50065e+54
2.33389e+51 8.91218e+50
6.68696e+74 9.63742e+74
7.48154e+18 1.3393e+19
7.48154e+18 1.3393e+19
1.08427e+18 3.90627e+17
8.89779e+31 1.71449e+32
6.60192e+84 8.34352e+84
9.06147e+81 9.05978e+81
2.7201e+55 2.20223e+55
4.46291e+10 5.50778e+10
1.06691e+72 1.56236e+72
4.4739e+20 6.80147e+20
6.35534e+82 3.85864e+82
3.73401e+96 5.77424e+96
3.75463e+96 5.10909e+96
1.7419e+38 2.8134e+38
5.04134e+37 6.59599e+37
1.07819e+37 1.21541e+37
1.07819e+37 1.21541e+37
4.34925e+37 3.55503e+37
5.87966e+89 7.38849e+89
4.5306e+74 7.28805e+74
1.75372e+76 2.75584e+76
6.36956e+25 7.81981e+25
5.66137e+26 2.56301e+26
2.89392e+62 2.44641e+62
1.65384e+49 1.68535e+49
1.26302e+68 1.45676e+68
1.72521e+66 1.32345e+66
9.49003e+44 1.48277e+45
3.2883e+44 4.24879e+44
7.13526e+43 8.04378e+43
7.13526e+43 8.04378e+43
2.8863e+44 2.36437e+44
9.80024e+36 1.60673e+37
1.15958e+97 5.21066e+96
2.33393e+23 3.58886e+23
2.33393e+23 3.58886e+23
2.33393e+23 3.58886e+23
1.12888e+22 3.77008e+21
1.42851e+07 1.4095e+07
1.09602e+101 1.46273e+101
1.66732e+86 6.87309e+85
4.5466e+60 5.70995e+60
2.05934e+59 2.49388e+59
2.37806e+59 2.62385e+59
8.54074e+58 4.67707e+58
1.09824e+41 1.67736e+41
1.09824e+41 1.67736e+41
5.76509e+39 6.49861e+39
5.76509e+39 6.49861e+39
2.47551e+40 2.00055e+40
0.000627184 0.000749932
0.000627184 0.000749932
6.92106e+83 7.29301e+83
1.60176e+85 1.68784e+85
2.57775e+78 1.54596e+78
1.11704e+50 1.096e+50
2.49834e+74 4.94502e+74
7.72895e+72 8.22229e+72
3.97109e+73 1.36535e+73
1.15188e+31 1.36214e+31
7.03726e+49 1.08626e+50
6.74459e+49 9.50371e+49
6.74459e+49 9.50371e+49
1.43875e+50 1.53348e+50
3.46471e+48 3.26772e+48
4.08037e+67 6.91312e+67
1.8273e+68 2.78751e+68
4.90483e+38 6.4204e+38
4.90483e+38 6.4204e+38
4.90483e+38 6.4204e+38
4.59212e+37 2.33851e+37
1.21169e+18 6.72879e+17
4.21336e+26 6.53797e+26
8.93392e+55 1.42665e+56
2.75493e+55 3.58604e+55
5.87044e+54 6.61757e+54
5.87044e+54 6.61757e+54
2.37449e+55 1.94056e+55
1.55756e+92 1.4668e+92
3.14817e+65 3.4079e+65
7.9466e+66 1.01791e+67
2.19826e+18 3.61139e+18
3.22403e+80 4.3215e+80
5.27938e+43 8.46134e+43
3.22484e+42 3.99326e+42
3.2206e+42 3.63513e+42
3.2206e+42 3.63513e+42
3.6148e+42 3.10634e+42
5.01188e+31 8.26099e+31
1.4052e+34 2.26958e+34
4.06697e+33 5.32112e+33
9.41577e+32 1.05732e+33
9.41577e+32 1.05732e+33
4.38011e+33 3.50615e+33
4.90089e+39 7.89782e+39
4.90089e+39 7.89782e+39
4.00398e+42 4.39666e+42
3.12253e+15 5.61508e+15
1.37777e+87 1.98193e+87
2.40533e+40 2.096e+40
7.92097e+86 1.05522e+87
5.975e+59 7.40848e+59
1.01276e+34 1.67268e+34
1.97632e+74 2.60978e+74
3.38966e+08 1.17033e+08
1.17915e+60 9.39479e+59
1.39409e+58 1.19808e+58
5.07983e+76 8.67679e+76
6.4985e+77 1.00313e+78
4.6387e+43 7.42518e+43
1.24135e+43 1.56032e+43
3.08194e+42 3.47418e+42
3.08194e+42 3.47418e+42
1.23382e+43 1.00949e+43
4.18853e+41 5.45106e+41
3.35579e+08 6.22071e+08
3.35579e+08 6.22071e+08
2.29476e+45 3.07915e+45
1.67276e+06 2.77821e+06
1.67276e+06 2.77821e+06
1.13861e+26 2.03483e+26
1.13861e+26 2.03483e+26
1.68885e+06 2.23614e+06
1.68885e+06 2.23614e+06
4.18042e+92 5.24694e+92
2.1559e+15 1.72049e+15
2.2378e+65 2.9513e+65
5.86906e+43 9.81227e+43
3.22104e+42 3.97785e+42
3.35473e+42 2.94202e+42
3.8798e+14 5.96852e+14
2.32581e+69 3.48872e+69
2.32581e+69 3.48872e+69
7.49229e+23 6.9493e+23
781358 1.4508e+06
2.23715e+14 3.47529e+14
2.62683e+84 5.04164e+84
2.62683e+84 5.04164e+84
7.17723e+98 9.48828e+98
1.14158e+34 1.72586e+34
2.16868e+35 3.1901e+35
2.98697e+73 2.88577e+73
1.13392e+82 5.10332e+81
1.55812e+55 1.53977e+55
5.88844e+28 8.33213e+28
3.25973e+28 3.7145e+28
3.25973e+28 3.7145e+28
7.39927e+27 3.9634e+27
4.95423e+64 3.98455e+64
4.50918e+65 1.63523e+65
8.90969e+66 2.40528e+66
8.90969e+66 2.40528e+66
1.28214e+59 1.2413e+59
1.64079e+56 2.58018e+56
8.31839e+10 1.45112e+11
2.95757e+10 3.6456e+10
2.91126e+10 3.09005e+10
2.91126e+10 3.09005e+10
7.75087e+10 4.92751e+10
8.69331e+29 1.46279e+30
5.98782e+29 8.07602e+29
7.00901e+28 7.90258e+28
7.00901e+28 7.90258e+28
7.92574e+28 6.84893e+28
1.78151e+42 2.59554e+42
1.78151e+42 2.59554e+42
5.64457e+07 9.09501e+07
8.47312e+68 7.23985e+68
2.58129e+19 1.00536e+19
